gold;num_bets;price
2715.75;44;12070
2715.75;44;11204
2715.75;19;12898
2715.75;14;12187
2715.75;11;11889
2715.75;14;12187
2715.75;41;11981
2715.75;42;37776
2715.75;42;11485
2715.75;40;12427
2715.75;38;11526
2715.75;24;11525
2715.75;31;12887
2715.75;37;12886
2715.75;34;13208
2715.75;25;12884
2715.75;39;12883
2715.75;33;12882
2715.75;10;13204
2715.75;23;12880
2715.75;27;12879
2715.75;44;13210
2715.75;23;12886
2715.75;10;13558
2715.75;19;12884
2715.75;18;13206
2715.75;15;12882
2715.75;19;12880
2715.75;55;12879
2715.75;47;12887
2715.75;9;13325
2715.75;29;13539
2715.75;35;12884
2715.75;45;12883
2715.75;13;13536
2715.75;17;12881
2715.75;33;12887
2715.75;45;12886
2715.75;39;12799
2715.75;37;12884
2715.75;38;13206
2715.75;29;12882
2715.75;17;12881
2715.75;21;12887
2715.75;31;12886
2715.75;9;12885
2715.75;13;12884
2715.75;19;12883
2715.75;41;12791
2715.75;25;12881
2715.75;39;12887
2715.75;23;12886
2715.75;31;12885
2715.75;35;12884
2715.75;41;12883
2715.75;33;12882
2715.75;25;12887
2715.75;37;12612
2715.75;43;12799
2715.75;27;12884
2715.75;55;12883
2715.75;39;12882
2715.75;27;12887
2715.75;35;12886
2715.75;37;12885
2715.75;35;12884
2715.75;33;12883
2715.75;23;12887
2706.51;25;14899
2706.51;29;15499
2706.51;23;16644
2706.51;26;20284
2706.51;35;26989
2706.51;35;12904
2706.51;43;14021
2706.51;23;11815
2706.51;30;11815
2706.51;31;13153
2706.51;20;12940
2706.51;37;12714
2706.51;33;11889
2706.51;30;12414
2706.51;50;12297
2706.51;29;12414
2706.51;65;11945
2706.51;34;12174
2706.51;45;12492
2706.51;47;12414
2706.51;38;12339
2706.51;29;12187
2706.51;39;11316
2706.51;37;10770
2706.51;35;16154
2706.51;31;12501
2706.51;33;61110
2706.51;24;31052
2706.51;19;11661
2706.51;26;11951
2737.6;22;23370
2737.6;31;12446
2737.6;46;12003
2737.6;34;12181
2737.6;45;12414
2737.6;68;12414
2737.6;35;12492
2737.6;37;12386
2737.6;23;12999
2737.6;42;12492
2737.6;42;12399
2737.6;47;12447
2737.6;61;54644
2737.6;10;20367
2737.6;27;13110
2737.6;42;27776
2692.86;22;23370
2692.86;31;12446
2692.86;46;12003
2692.86;34;12181
2692.86;45;12414
2692.86;68;12414
2692.86;35;12492
2692.86;37;12386
2692.86;23;12999
2692.86;42;12492
2692.86;42;12399
2692.86;47;12447
2692.86;61;54644
2692.86;10;20367
2692.86;27;13110
2692.86;42;27776
2759.07;36;13231
2759.07;46;22092
